"South Dakota","150","12.6","47.09","97940","3.0","30.85","40.35","43.97","54.82","64.41","64160","83930","91460","114030","133970","0.328","0.26","4600000"
"Tennessee","2090","26.0","46.97","97710","8.5","17.08","28.99","44.42","60.09","71.44","35520","60300","92400","124990","148580","0.648","0.51","4700000"
"Texas","20560","5.0","52.40","109000","1.2","24.79","36.57","48.12","65.05","80.36","51550","76060","100100","135310","167160","1.517","1.20","4800000"
"Utah","3530","7.1","48.93","101780","2.9","24.87","33.26","46.87","61.35","79.13","51740","69180","97490","127600","164580","2.105","1.66","4900000"
"Vermont","220","18.7","59.82","124430","8.4","36.00","38.51","56.49","71.65","96.73","74890","80100","117500","149030","201190","0.735","0.58","5000000"
"Virginia","4810","4.6","66.87","139080","1.3","36.05","48.40","65.62","85.32","101.56","74980","100680","136490","177460","211250","1.209","0.95","5100000"
"Washington","5640","5.3","71.50","148730","1.3","36.99","47.40","63.76","84.65","108.62","76940","98590","132620","176080","225920","1.613","1.27","5300000"
"West Virginia","180","24.3","45.35","94330","10.6","21.64","22.08","32.53","47.86","89.03","45020","45930","67660","99560","185190","0.266","0.21","5400000"
"Wisconsin","3090","5.7","50.60","105250","1.4","32.47","39.56","48.96","60.12","67.78","67540","82280","101850","125050","140980","1.070","0.84","5500000"
"Wyoming",,,"60.25","125330","15.8","34.64","54.64","62.68","72.55","73.02","72050","113640","130370","150900","151880",,,"5600000"
